from	to	length	compass	clino	left	right	up	down
665	667	3	70	-5	0,2	0,2	1,8	0
667	668	2,9	56	-10	0	0	3	0
668	669	3	115	40	0,3	0,3	3	0
669	670	3	115	40	0,3	0,3	3	0
670	671	1,5	0	-90	0,3	0,3	3	0
671	672	0,9	115	0	0,3	0,3	3	0
668	673	3	220	30	0,4	0,4	2	0
668	674	1,4	300	0	0,4	0	3	0
674	675	4	290	30	0,2	0,2	3	0
675	676	1	0	90	0,2	0,2	3	0
674	677	3,7	52	-10	0,4	0,4	2	0
677	678	1,4	52	0	0,5	0,5	2	0
678	679	1,5	300	30	1	1	1	0
678	680	1,5	30	-10	0,5	0,5	2	0
680	681	2,1	0	-90	0,5	0,5	2	0
681	682	0,3	30	0	0,5	0,5	3	0
682	683	8	300	3	0,4	0,4	3	0
683	684	1,2	300	0	0	1	3	0
684	685	1	300	0	0,5	0,5	3	0
685	686	2	0	90	0,5	0,5	3	0
684	687	1,3	240	0	0,4	0,4	3	0
687	688	0,5	0	90	0	0	0	0
688	689	1,4	252	10	0,3	0,3	3	0
689	690	1,2	130	0	0,2	0,2	3	0
690	691	2,5	130	40	0,1	0,1	0,5	0
691	692	2	130	20	0,4	0,4	0,4	0
689	693	0,3	0	90	0	0	0	0
693	694	5	288	5	0,4	0,4	3	0
694	695	7,5	255	5	1	2	3	0
695	696	3,3	286	5	0,5	0,5	3	0
696	697	8	0	90	0	0	0	0
696	698	3,3	237	30	3	2	3	0
698	699	1,2	237	5	0	0	3	0
699	700	4,5	237	15	3	2	1	0
700	701	3,4	173	10	1	1	1	0
701	702	3,3	196	15	1	0,5	1	0
702	703	2	115	0	0,3	8	0,5	0
702	704	5,2	278	5	1	0,8	1	0
704	705	8	299	5	1	1,5	1	0
705	706	3,7	276	10	0,3	1,5	0,8	0
706	707	4	264	10	1	2,5	1,5	0
707	708	10	273	10	4	2,5	1	0
708	709	6,5	220	15	5	5	0,5	0
709	710	13	270	15	0	3	0,5	0
678	711	3,5	110	15	0,4	0,4	1,5	0
711	712	1,9	115	-50	0,3	0,3	2,3	0
712	713	2,4	225	5	0,4	0,3	2,3	0
713	714	1,4	130	0	0,3	0,3	2	0
714	715	1,7	238	30	0,3	0,3	0	0
711	716	2,2	68	-10	0	0	1,8	0
716	717	2	36	0	0,5	0,5	1	0
717	718	0,7	120	0	0,5	0,5	1,6	0
716	719	4,4	113	10	0	0	0,5	0
719	720	6,6	57	-10	0	0	0,5	0
720	721	0,5	102	0	0	0	0	0
721	722	4,7	46	0	0	0	0	0
722	723	2,6	120	30	0	0	0	0
723	724	3,8	63	-10	0	0	0	0
724	725	4,9	318	-15	0	0	2,5	0
725	726	2,6	42	0	0	0	1	0
725	727	3	356	0	0	0	1,2	0
725	728	2,3	288	0	0	0	1	0
725	729	2,7	73	0	0	0	1,3	0
729	730	4	358	10	1,5	1	3	1,5
724	731	4,2	19	-25	0,5	0,5	1,5	0
731	732	3,7	3	0	0	0	2	0
732	733	4,5	316	0	0	0	3	0
733	734	3,2	250	0	0	0	3	0
734	735	2,6	155	0	0	0	3	0
733	736	2,4	38	0	0	0	3	0
736	737	4,1	118	0	0,2	0,2	1	0
737	738	6	118	0	0	0	1	0
736	739	6,1	303	0	0,3	0,3	3	0
739	740	5,5	300	45	0,2	0,2	3	0
733	741	4,5	25	0	3	3	3	0
731	742	4,8	109	0	0,5	0,5	2,5	0
742	743	3,5	132	0	0,3	0,5	1	0
743	744	4	134	10	1,5	0,5	1,5	0
744	745	2,7	52	-45	0,2	0,2	1	0
745	746	2	116	0	1	0,2	0,2	0
744	747	2,4	133	-45	0,3	0,3	3	0
747	748	12,5	143	0	0,5	0,5	2,5	0
748	749	2,5	118	0	1,5	1,5	1,6	0
749	750	4,4	253	0	0,3	0,3	1,6	0
750	751	1,7	220	0	0,3	0,3	2,5	0
751	752	12,3	130	0	0,3	0,3	1,8	0
752	753	3	98	0	1	0,5	2	0
753	754	1,6	148	0	0,3	0,5	2	0
754	755	4	92	0	1	1	2,5	0
755	756	3	150	0	0,5	0,5	2	0
756	757	10	112	0	0,3	0,3	1,7	0
756	758	6	112	0	0,3	0,3	1,7	0
735	759	17,5	127	0	0	0	3	0
692	692'	10	90	0	0	0	0	0
692	692''	10	180	0	0	0	0	0
692	692'''	10	270	0	0	0	0	0
692	692''''	10	360	0	0	0	0	0
endcenterline								
