from;to;length;compass;clino;left;right;up;down
665;667;3;70;-5;0.2;0.2;01.авг;0
667;668;02.сен;56;-10;0;0;3;0
668;669;3;115;40;0.3;0.3;3;0
669;670;3;115;40;0.3;0.3;3;0
670;671;01.май;0;-90;0.3;0.3;3;0
671;672;0.9;115;0;0.3;0.3;3;0
668;673;3;220;30;0.4;0.4;2;0
668;674;01.апр;300;0;0.4;0;3;0
674;675;4;290;30;0.2;0.2;3;0
675;676;1;0;90;0.2;0.2;3;0
674;677;03.июл;52;-10;0.4;0.4;2;0
677;678;01.апр;52;0;0.5;0.5;2;0
678;679;01.май;300;30;1;1;1;0
678;680;01.май;30;-10;0.5;0.5;2;0
680;681;02.янв;0;-90;0.5;0.5;2;0
681;682;0.3;30;0;0.5;0.5;3;0
682;683;8;300;3;0.4;0.4;3;0
683;684;01.фев;300;0;0;1;3;0
684;685;1;300;0;0.5;0.5;3;0
685;686;2;0;90;0.5;0.5;3;0
684;687;01.мар;240;0;0.4;0.4;3;0
687;688;0.5;0;90;0;0;0;0
688;689;01.апр;252;10;0.3;0.3;3;0
689;690;01.фев;130;0;0.2;0.2;3;0
690;691;02.май;130;40;0.1;0.1;0.5;0
691;692;2;130;20;0.4;0.4;0.4;0
689;693;0.3;0;90;0;0;0;0
693;694;5;288;5;0.4;0.4;3;0
694;695;07.май;255;5;1;2;3;0
695;696;03.мар;286;5;0.5;0.5;3;0
696;697;8;0;90;0;0;0;0
696;698;03.мар;237;30;3;2;3;0
698;699;01.фев;237;5;0;0;3;0
699;700;04.май;237;15;3;2;1;0
700;701;03.апр;173;10;1;1;1;0
701;702;03.мар;196;15;1;0.5;1;0
702;703;2;115;0;0.3;8;0.5;0
702;704;05.фев;278;5;1;0.8;1;0
704;705;8;299;5;1;01.май;1;0
705;706;03.июл;276;10;0.3;01.май;0.8;0
706;707;4;264;10;1;02.май;01.май;0
707;708;10;273;10;4;02.май;1;0
708;709;06.май;220;15;5;5;0.5;0
709;710;13;270;15;0;3;0.5;0
678;711;03.май;110;15;0.4;0.4;01.май;0
711;712;01.сен;115;-50;0.3;0.3;02.мар;0
712;713;02.апр;225;5;0.4;0.3;02.мар;0
713;714;01.апр;130;0;0.3;0.3;2;0
714;715;01.июл;238;30;0.3;0.3;0;0
711;716;02.фев;68;-10;0;0;01.авг;0
716;717;2;36;0;0.5;0.5;1;0
717;718;0.7;120;0;0.5;0.5;01.июн;0
716;719;04.апр;113;10;0;0;0.5;0
719;720;06.июн;57;-10;0;0;0.5;0
720;721;0.5;102;0;0;0;0;0
721;722;04.июл;46;0;0;0;0;0
722;723;02.июн;120;30;0;0;0;0
723;724;03.авг;63;-10;0;0;0;0
724;725;04.сен;318;-15;0;0;02.май;0
725;726;02.июн;42;0;0;0;1;0
725;727;3;356;0;0;0;01.фев;0
725;728;02.мар;288;0;0;0;1;0
725;729;02.июл;73;0;0;0;01.мар;0
729;730;4;358;10;01.май;1;3;01.май
724;731;04.фев;19;-25;0.5;0.5;01.май;0
731;732;03.июл;3;0;0;0;2;0
732;733;04.май;316;0;0;0;3;0
733;734;03.фев;250;0;0;0;3;0
734;735;02.июн;155;0;0;0;3;0
733;736;02.апр;38;0;0;0;3;0
736;737;04.янв;118;0;0.2;0.2;1;0
737;738;6;118;0;0;0;1;0
736;739;06.янв;303;0;0.3;0.3;3;0
739;740;05.май;300;45;0.2;0.2;3;0
733;741;04.май;25;0;3;3;3;0
731;742;04.авг;109;0;0.5;0.5;02.май;0
742;743;03.май;132;0;0.3;0.5;1;0
743;744;4;134;10;01.май;0.5;01.май;0
744;745;02.июл;52;-45;0.2;0.2;1;0
745;746;2;116;0;1;0.2;0.2;0
744;747;02.апр;133;-45;0.3;0.3;3;0
747;748;12.май;143;0;0.5;0.5;02.май;0
748;749;02.май;118;0;01.май;01.май;01.июн;0
749;750;04.апр;253;0;0.3;0.3;01.июн;0
750;751;01.июл;220;0;0.3;0.3;02.май;0
751;752;12.мар;130;0;0.3;0.3;01.авг;0
752;753;3;98;0;1;0.5;2;0
753;754;01.июн;148;0;0.3;0.5;2;0
754;755;4;92;0;1;1;02.май;0
755;756;3;150;0;0.5;0.5;2;0
756;757;10;112;0;0.3;0.3;01.июл;0
756;758;6;112;0;0.3;0.3;01.июл;0
735;759;17.май;127;0;0;0;3;0
692;692';10;90;0;0;0;0;0
692;692'';10;180;0;0;0;0;0
692;692''';10;270;0;0;0;0;0
692;692'''';10;360;0;0;0;0;0
