from to length compass clino up down left right 
665 667 3 70 -5 1.8 0 0.2 0.2 
667 668 2.9 56 -10 3 0 0 0
668 669 3 115 40 3 0 0.3 0.3
669 670 3 115 40 3 0 0.3 0.3 
670 671 1.5 0 -90 3 0 0.3 0.3 
671 672 0.9 115 0 3 0 0.3 0.3
668 673 3 220 30 2 0 0.4 0.4 
668 674 1.4 300 0 3 0 0.4 0 
674 675 4 290 30 3 0 0.2 0.2 
675 676 1 0 90 3 0 0.2 0.2
674 677 3.7 52 -10 2 0 0.4 0.4
677 678 1.4 52 0 2 0 0.5 0.5 
678 679 1.5 300 30 1 0 1 1
678 680 1.5 30 -10 2 0 0.5 0.5
680 681 2.1 0 -90 2 0 0.5 0.5
681 682 0.3 30 0 3 0 0.5 0.5 
682 683 8 300 3 3 0 0.4 0.4
683 684 1.2 300 0 3 0 0 1
684 685 1 300 0 3 0 0.5 0.5 
685 686 2 0 90 3 0 0.5 0.5 
684 687 1.3 240 0 3 0 0.4 0.4 
687 688 0.5 0 90 0 0 0 0 
688 689 1.4 252 10 3 0 0.3 0.3 
689 690 1.2 130 0 3 0 0.2 0.2 
690 691 2.5 130 40 0.5 0 0.1 0.1 
691 692 2 130 20 0.4 0 0.4 0.4 
689 693 0.3 0 90 0 0 0 0 
693 694 5 288 5 3 0 0.4 0.4 
694 695 7.5 255 5 3 0 1 2
695 696 3.3 286 5 3 0 0.5 0.5
696 697 8 0 90 0 0 0 0
696 698 3.3 237 30 3 0 3 2
698 699 1.2 237 5 3 0 0 0
699 700 4.5 237 15 1 0 3 2
700 701 3.4 173 10 1 0 1 1 
701 702 3.3 196 15 1 0 1 0.5 
702 703 2 115 0 0.5 0 0.3 8
702 704 5.2 278 5 1 0 1 0.8 
704 705 8 299 5 1 0 1 1.5
705 706 3.7 276 10 0.8 0 0.3 1.5
706 707 4 264 10 1.5 0 1 2.5
707 708 10 273 10 1 0 4 2.5
708 709 6.5 220 15 0.5 0 5 5
709 710 13 270 15 0.5 0 0 3
678 711 3.5 110 15 1.5 0 0.4 0.4
711 712 1.9 115 -50 2.3 0 0.3 0.3
712 713 2.4 225 5 2.3 0 0.4 0.3
713 714 1.4 130 0 2 0 0.3 0.3 
714 715 1.7 238 30 0 0 0.3 0.3
711 716 2.2 68 -10 1.8 0 0 0
716 717 2 36 0 1 0 0.5 0.5 
717 718 0.7 120 0 1.6 0 0.5 0.5
716 719 4.4 113 10 0.5 0 0 0
719 720 6.6 57 -10 0.5 0 0 0 
720 721 0.5 102 0 0 0 0 0 
721 722 4.7 46 0 0 0 0 0 
722 723 2.6 120 30 0 0 0 0 
723 724 3.8 63 -10 0 0 0 0
724 725 4.9 318 -15 2.5 0 0 0 
725 726 2.6 42 0 1 0 0 0
725 727 3 356 0 1.2 0 0 0
725 728 2.3 288 0 1 0 0 0
725 729 2.7 73 0 1.3 0 0 0 
729 730 4 358 10 3 1.5 1.5 1 
724 731 4.2 19 -25 1.5 0 0.5 0.5
731 732 3.7 3 0 2 0 0 0 
732 733 4.5 316 0 3 0 0 0 
733 734 3.2 250 0 3 0 0 0 
734 735 2.6 155 0 3 0 0 0 
733 736 2.4 38 0 3 0 0 0
736 737 4.1 118 0 1 0 0.2 0.2
737 738 6 118 0 1 0 0 0
736 739 6.1 303 0 3 0 0.3 0.3
739 740 5.5 300 45 3 0 0.2 0.2 
733 741 4.5 25 0 3 0 3 3
731 742 4.8 109 0 2.5 0 0.5 0.5
742 743 3.5 132 0 1 0 0.3 0.5 
743 744 4 134 10 1.5 0 1.5 0.5 
744 745 2.7 52 -45 1 0 0.2 0.2 
745 746 2 116 0 0.2 0 1 0.2
744 747 2.4 133 -45 3 0 0.3 0.3 
747 748 12.5 143 0 2.5 0 0.5 0.5 
748 749 2.5 118 0 1.6 0 1.5 1.5 
749 750 4.4 253 0 1.6 0 0.3 0.3 
750 751 1.7 220 0 2.5 0 0.3 0.3 
751 752 12.3 130 0 1.8 0 0.3 0.3 
752 753 3 98 0 2 0 1 0.5
753 754 1.6 148 0 2 0 0.3 0.5 
754 755 4 92 0 2.5 0 1 1 
755 756 3 150 0 2 0 0.5 0.5 
756 757 10 112 0 1.7 0 0.3 0.3 
756 758 6 112 0 1.7 0 0.3 0.3 
735 759 17.5 127 0 3 0 0 0 
692 692' 10 90 0 0 0 0 0
692 692'' 10 180 0 0 0 0 0 
692 692''' 10 270 0 0 0 0 0 
692 692'''' 10 360 0 0 0 0 0
endcenterline

survey ara -title "Пещера Аракаевская СГС СГС 2014"
centreline
date 2012.03.25
team "Крылосова Ольга"
team "Куриченко Александра"
team "Клишин Юрий"
from to tape compass clino left right up down
R2 a1 4.05 214 -29 [2.5 1.65] [0 0.97] [0.4 0.5] [1 0.9]
a1 a2 3.8 199 -24 2.8 2.1 2.2 0.3
a2 a3 2.3 354 -6 [0.72 2.07] [4.07 2.87] 2.16 0
a3 a1 2.22 52 28 0.9 2.5 0.4 1 
a2 a4 7.72 208 -3 [2.87 2.58] [2.07 3.17] 1.52 0
a4 a5 4.18 111 8 [2.9 1.58] [2.43 3.5] [1.52 1.95] [0 1.5]
a5 a6 4.94 129 -18 2.3 4.8 2.5 0 
a6 a7 3.34 59 2 [4.8 0.3] [3.65 0.1] [2.5 0.5] [0 0]
a7 a7' 3 47 25 0.3 0.3 0.3 0.3
a6 a8 3.7 121 28 [2.3 1.61] [4.8 3.97] [2.5 0.2] [0 2.17]
a4 a9 3.5 210 19 [1.84 3.48] [3.1 1.85] [1.5 0.58] [0 0.2]
a9 a10 3.54 193 1 0.4 0.3 0.5 0 
a10 a11 2.84 205 -1 2.8 1.8 0.4 0.4
a11 a12 2.54 296 -38 [1 0.8] [2.75 0.3] [0.5 0.6] [0.5 0]
a12 a13 1.94 244 -23 0.3 0.2 0.6 0 
a11 a14 3.16 196 -1 [2.77 1.37] [1.3 1.8] 0.83 0.1
a14 a15 6.36 220 -18 2.9 2.6 2.3 0.1
a15 a19 9.49 212 13 [1.5 1.65] [1.5 1.6] 0.6 0.2
a19 a20 2.46 207 -5 2 2 0.4 0.3
a4 a24 3.72 255 19 [2 0.8] [1.5 0.8] [2 1.1] [0 0]
a24 a25 2.6 226 0 0.4 0.2 0.3 0 
a25 a25' 2.5 215 0 0.2 0.2 0.2 0.2 

endcentreline

centreline
date 2012.10.28
team "Крылосова Ольга"
team "Барова Анна"
team "Агамальян Екатерина"
from to tape compass clino left right up down

e13 a17' 3.16 94 -47 [6.4 0.6] [2.15 0.6] [2.8 0] [0.5 1.4]
